name,artist,release_date,length,popularity
In Ha Mood,Ice Spice,2023-01-06,129360,83
LOOK DON’T TOUCH (feat. cade clair),Odetari,2023-05-17,138240,84
"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",Metro Boomin,2023-06-02,195320,84
I Wrote The Book,Morgan Wallen,2023-03-03,181766,79
Peaches,Brian Tyler,2023-04-07,95440,85
Red Ruby Da Sleeze,Nicki Minaj,2023-03-03,214445,82
Never Imagined (feat. Future),Lil Durk,2023-05-26,192000,79
What It Is (Solo Version),Doechii,2023-03-17,189824,88
red (feat. Morgan Wallen),HARDY,2023-01-20,205767,79
Like Crazy,Jimin,2023-03-26,212241,89
Fall In Love,Bailey Zimmerman,2023-05-12,232058,79
Rosa Pastel,Peso Pluma,2023-04-20,204253,88
SORRY NOT SORRY,"Tyler, The Creator",2023-03-31,206049,81
Bite Me,ENHYPEN,2023-05-22,157531,89
Queencard,(G)I-DLE,2023-05-15,161240,89
Pull Up (feat. 21 Savage),Toosii,2023-06-02,133000,80
Straight and Narrow,Sam Barber,2023-04-12,199874,81
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,2023-05-26,192000,78
Danger (Spider) (Offset & JID),Metro Boomin,2023-06-02,205266,83
Double Fantasy (with Future),The Weeknd,2023-04-21,268235,87
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Metro Boomin,2023-06-02,195386,85
Peaches & Eggplants (feat. 21 Savage),Young Nudy,2023-02-27,203813,79
You’re Gonna Go Far,Noah Kahan,2023-06-09,286369,79
Jaded,Miley Cyrus,2023-03-10,185933,84
El Cielo,Sky Rompiendo,2023-06-02,191320,92
Flowers,Miley Cyrus,2023-03-10,200600,91
Already Rich,Yeat,2023-05-03,145528,81
hotline (edit),Billie Eilish,2023-05-09,60719,88
Fight The Feeling,Rod Wave,2023-03-31,160714,78
MIENTRAS ME CURO DEL CORA,KAROL G,2023-02-24,164386,90
I love freaks,Lijay,2023-01-30,101198,81
LADY GAGA,Peso Pluma,2023-06-22,212878,84
Sprinter,Dave,2023-06-01,229133,94
Kill Bill (feat. Doja Cat),SZA,2023-04-14,175836,83
"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",Metro Boomin,2023-06-02,234693,83
