name,artist,release_date,length,popularity
Podemos Repetirlo,Don Omar,2023-05-25,211707,82
Penthouse,Kelsea Ballerini,2023-02-14,183080,73
Heaven,Niall Horan,2023-06-09,186043,80
Take Me Back,The Weeknd,2023-06-19,227645,54
Like Crazy (English Version),Jimin,2023-03-26,212253,79
Gangsta Boo (with Lil Tjay),Ice Spice,2023-01-20,159370,76
TRUSTFALL,P!nk,2023-01-27,237200,84
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",Fast & Furious: The Fast Saga,2023-06-15,176454,84
Alone,Jimin,2023-03-24,211250,80
TUS GAFITAS,KAROL G,2023-02-24,167786,80
Money On Me,Morgan Wallen,2023-03-03,175158,71
Gunsmoke Town,Kodak Black,2023-05-26,174545,73
A Lesser Man,The Weeknd,2023-06-19,298616,47
"Paris, Texas (feat. SYML)",Lana Del Rey,2023-03-24,206722,79
NO BAP,LUCKI,2023-05-30,120944,72
Lick Or Sum,GloRilla,2023-05-23,141604,72
Out On Bond,BabyTron,2023-02-24,80352,71
Get It B4,The Weeknd,2023-06-19,262387,37
Beggin',Chris Lake,2023-04-20,183397,77
PERO TÚ,KAROL G,2023-02-24,183480,82
ITEM,Stray Kids,2023-06-02,191533,80
COCO LOCO,Maluma,2023-06-08,166734,82
Save Me (with Lainey Wilson),Jelly Roll,2023-06-02,237493,72
Don't Think Jesus,Morgan Wallen,2023-03-03,225665,71
Eyes Closed,Ed Sheeran,2023-05-05,194848,83
Lottery (feat. LU KALA),Latto,2023-02-17,186761,79
First Show,Luh Tyler,2023-04-21,121237,71
Sure Thing - Sped Up,Miguel,2023-01-27,150053,83
Mad Dog,Young Thug,2023-06-23,229000,71
PAINTING PICTURES,Superstar Pride,2023-03-13,122070,75
You Don’t Want That Smoke,Bailey Zimmerman,2023-05-12,200506,72
Sleep Well,d4vd,2023-05-26,175875,80
Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,2023-01-27,157261,80
i was just thinking,Gunna,2023-06-16,192093,70
4runner,Brenn!,2023-04-28,265453,78
Went Thru It,Young Thug,2023-06-23,155733,71
Damn Love,Kip Moore,2023-02-24,190666,71
Texas (feat. Maren Morris),Jessie Murph,2023-06-09,198106,73
RUNNING,NF,2023-04-07,253532,76
Classy 101,Various Artists,2023-06-23,195986,4
Niña Bonita,Various Artists,2023-06-23,187653,1
Nieve,Various Artists,2023-06-23,140586,2
Niña Bonita,Various Artists,2023-06-23,187653,1
Jonesboro,Young Thug,2023-06-23,163800,71
Niña Bonita,Various Artists,2023-06-16,187653,3
novocaine,GenriX,2023-01-13,195605,79
NYMPHOLOGY,Melanie Martinez,2023-03-31,306931,74
Querida,Various Artists,2023-06-23,216000,0
Castigo,Various Artists,2023-06-26,177280,0
Sígueme - Remix,Various Artists,2023-06-23,201813,1
VACAXIONES,Various Artists,2023-06-26,186400,0
Si Te La Encuentras Por Ahí,Various Artists,2023-06-23,191506,1
Niña Bonita,Various Artists,2023-06-23,187653,1
A veces,Various Artists,2023-06-23,191186,2
Normal,Various Artists,2023-06-23,171880,1
A veces,Various Artists,2023-06-23,191186,0
Waffle House,Jonas Brothers,2023-05-12,145440,75
PUNTO 40,Rauw Alejandro,2023-01-24,190654,80
Tronando Ligas,Grupo Firme,2023-03-21,155818,80
if looks could kill,Destroy Lonely,2023-03-03,194213,74
HOPE,NF,2023-04-07,264473,75
Di Que Sí,Grupo Marca Registrada,2023-05-12,190553,77
Therapy Session,Lil Durk,2023-05-26,87751,71
Hasta Cuando,Kali Uchis,2023-03-03,129448,74
Two Tens (feat. Anderson .Paak),Cordae,2023-01-25,152371,75
Digital Silence,Peter McPoland,2023-04-07,198026,75
Under the Sea,Alan Menken,2023-05-19,184946,76
RUNAWAY,OneRepublic,2023-05-26,143264,82
goodbye looks good on you (feat. Mitchell Tenpenny),Alana Springsteen,2023-03-24,171080,72
Bops,Coi Leray,2023-04-27,128666,73
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,TWISTED,2023-01-26,164629,84
Calm Down (with Selena Gomez),Rema,2023-04-27,239317,83
OJOS FERRARI,KAROL G,2023-02-24,180040,77
True Blue,boygenius,2023-03-31,296333,73
Had It,Morgan Wallen,2023-03-03,199108,71
Part of Your World,Alan Menken,2023-05-19,214373,77
alright,Gunna,2023-06-16,184026,70
GATÚBELA,KAROL G,2023-02-24,208013,79
KNIGHT CRAWLER (feat. Juice WRLD),Trippie Redd,2023-01-20,177230,73
Rain,Sleep Token,2023-05-19,252158,74
Die 4 Me,Halsey,2023-02-24,215021,76
UK Rap,Dave,2023-06-04,198026,84
We Might Even Be Falling In Love (Duet) - Spotify Singles,Victoria Monét,2023-02-14,90110,76
SHOOTING STAR,XG,2023-01-25,203556,79
Everything I Love,Morgan Wallen,2023-01-31,187047,72
Por las Noches - Remix,Peso Pluma,2023-02-27,222551,82
I'm Not Human,XXXTENTACION,2023-06-18,195853,73
SET ME FREE,TWICE,2023-03-10,181680,80
Chorei na Vaquejada,Eric Land,2023-05-05,157170,78
Creepin',Various Artists,2023-06-25,221520,0
Creepin',Various Artists,2023-06-24,221520,2
Spinnin,Connor Price,2023-01-27,110938,77
XTAYALIVE,jnhygs,2023-02-22,126897,76
$20,boygenius,2023-03-31,200093,73
WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,2023-06-01,166882,81
Me On You,Muscadine Bloodline,2023-02-24,167266,72
WANDA,Quevedo,2023-01-20,160909,87
PANTIES Y BRASIERES,Rauw Alejandro,2023-01-26,197383,80
Rhyme Dust,MK,2023-02-24,181364,71
Ascensionism,Sleep Token,2023-05-19,428713,74
Let U Go,lucidbeatz,2023-01-08,128004,77
BESTIES,KAROL G,2023-02-24,162146,78
The Feels,Labrinth,2023-04-28,197465,77
Portrait of a Blank Slate,Lovejoy,2023-05-12,227546,76
If We Were Vampires (feat. Wesley Schultz) - Spotify Singles,Noah Kahan,2023-05-10,217873,71
I Can't Lie (with Kodak Black),French Montana,2023-06-02,186453,73
Self Destruction Mode,The Chainsmokers,2023-06-02,147836,76
UNAVAILABLE (feat. Musa Keys),Davido,2023-03-30,169911,83
ID,Young Miko,2023-06-02,235525,81
Ant Pile,Dominic Fike,2023-05-26,126233,73
Glo’d Up,Juice WRLD,2023-05-18,150564,74
Hot Razor,$uicideboy$,2023-05-05,199101,72
Big Shot Cream Soda,$uicideboy$,2023-02-15,195600,72
Whole Lotta Grey,$uicideboy$,2023-02-24,186093,71
Northern Attitude,Noah Kahan,2023-06-09,267256,71
Need Me,Lil Tecca,2023-05-11,138946,75
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,2023-06-21,191254,85
X SI VOLVEMOS,KAROL G,2023-02-03,203360,83
Stick Season,Noah Kahan,2023-06-09,182346,72
Blackout,Joyner Lucas,2023-04-07,196569,73
The Alcott (feat. Taylor Swift),The National,2023-04-28,267773,76
"Part of Your World - From ""The Little Mermaid""",Halle,2023-04-26,214373,78
Kill Bill - Sped Up Version,SZA,2023-01-13,137528,80
"Soweto (with Don Toliver, Rema & Tempoe)",Victony,2023-03-22,219500,83
Hoodie (feat. BSlime & Lil Gotit),Young Thug,2023-06-23,215600,69
All My Love,Noah Kahan,2023-06-09,251510,71
CRYSTALS,PR1SVX,2023-03-18,68250,76
Esta Vida,Marshmello,2023-04-13,209135,83
Lost,Linkin Park,2023-02-10,199342,81
GONE,NF,2023-04-07,246118,74
¿Qué Se Te Quitó?,Fuerza Regida,2023-03-31,87142,74
This Town's Been Too Good To Us,Dylan Scott,2023-06-02,191626,70
Granite,Sleep Token,2023-05-19,225426,73
She Calls Me Back,Noah Kahan,2023-06-09,243815,71
RON COLA,Rauw Alejandro,2023-01-24,186722,80
Corazón Roto - Remix,Brray,2023-04-07,275040,83
Emily I'm Sorry,boygenius,2023-03-31,214866,73
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),Bring Me The Horizon,2023-06-01,189552,78
Doble Vaso,VGLY,2023-05-25,161494,82
You Found Yours,Luke Combs,2023-03-24,191986,72
Denver,Jack Harlow,2023-04-28,158237,74
PORSCHE TOPLESS,Kid Cudi,2023-06-02,170440,72
Lisa,Young Miko,2023-03-03,159306,84
Princesa,Grupo Marca Registrada,2023-04-28,151486,75
Pound Town (and Tay Keith),Sexyy Red,2023-01-27,129429,70
Always Been You,Jessie Murph,2023-02-10,131824,74
Eat Your Man (with Nelly Furtado),Dom Dolla,2023-06-02,197164,78
Perfume,NCT DOJAEJUNG,2023-04-17,167626,80
Dig,Ian Munsick,2023-04-07,225053,70
"Self Medication (feat. Seth MacFarlane, Redman, & Statik Selektah)",Logic,2023-02-24,315102,72
Take It Off,FISHER,2023-04-21,194604,74
I Should Have Married You,Old Dominion,2023-04-21,163533,70
5 Leaf Clover,Luke Combs,2023-03-17,211053,72
Lust For Life,Various Artists,2023-06-23,264011,2
Summertime Sadness,Various Artists,2023-06-23,263973,5
Snow Angel,Reneé Rapp,2023-06-09,215448,73
AGUARDIENTE,Myke Towers,2023-03-23,167175,80
Video Games,Various Artists,2023-06-23,281946,14
Mariners Apartment Complex,Various Artists,2023-06-23,246420,1
Summertime Sadness,Various Artists,2023-06-23,263973,4
Summertime Sadness,Various Artists,2023-06-23,263973,0
If You Lie Down With Me,Various Artists,2023-06-23,265186,0
The Scuttlebutt,Alan Menken,2023-05-19,121813,73
I'm Geekin (feat. Luh Tyler),DDG,2023-05-19,172035,70
Whiskey On You,Nate Smith,2023-04-28,183786,71
What's That?,Joyner Lucas,2023-05-09,207546,72
Chase Her,Bailey Zimmerman,2023-05-12,198904,70
No morë talk,Yeat,2023-02-24,238506,73
Crying On The Dancefloor,Sam Feldt,2023-03-17,173008,82
Global Access (feat. Nate Ruess),Young Thug,2023-06-23,148533,68
Dame Un Chance (La Cumbia Bélica),Luis R Conriquez,2023-03-16,180946,77
Sober Me Up,LECADE,2023-01-27,147382,70
Wild as Her,Corey Kent,2023-06-02,201066,70
Wild Uncharted Waters,Alan Menken,2023-05-19,179973,74
Special (feat. SZA),Lizzo,2023-02-09,174748,76
Provolone & Heroin (Feat. Freddie Dredd),$uicideboy$,2023-05-19,236032,72
DE CAROLINA,Rauw Alejandro,2023-01-24,181621,78
Doomsday (with Juice WRLD & Cordae),Lyrical Lemonade,2023-06-23,150967,74
MOTTO,NF,2023-04-07,217271,74
Sleep on My Side,Megan Moroney,2023-05-05,188931,70
How it go,Yeat,2023-02-24,184426,73
3AM on Glenwood,Various Artists,2023-06-25,178328,0
Hold On Tight,aespa,2023-03-30,149718,80
Ni Me Debes Ni Te Debo,Carin Leon,2023-05-19,169895,83
MILK OF THE SIREN,Melanie Martinez,2023-04-05,265463,73
Munch (Feelin’ U),Ice Spice,2023-01-20,104160,74
De Lunes A Viernes,Angel Ureta,2023-04-12,153443,74
Realism VS Idealism,$uicideboy$,2023-05-05,158843,71
Attention,Doja Cat,2023-06-15,277043,71
CUFF IT - WETTER REMIX,Beyoncé,2023-02-08,249406,74
Collision,Stray Kids,2023-06-02,157626,78
This Is,Ella Mai,2023-02-02,206429,72
Celestial,Various Artists,2023-06-26,209026,0
Celestial,Various Artists,2023-06-26,209026,0
Happier - Tiësto's AFTR:HRS Remix,Various Artists,2023-06-26,216000,0
2step,Various Artists,2023-06-26,153626,0
Perfect,Various Artists,2023-06-26,263400,0
Photograph,Various Artists,2023-06-26,258986,0
Celestial,Various Artists,2023-06-26,209026,0
MISTAKE,NF,2023-04-07,215186,74
GET LIT,Stray Kids,2023-06-02,171000,79
Lay Low,Tiësto,2023-01-06,153442,87
Chokehold,Sleep Token,2023-05-19,304023,73
Arranca (feat. Omega),Becky G,2023-03-10,166529,85
Sundown,Nic D,2023-04-14,129005,71
Hero,Alan Walker,2023-05-04,175271,81
WHAT THE HELL ARE WE DYING FOR ?,Shawn Mendes,2023-06-09,229565,77
New Perspective,Noah Kahan,2023-06-09,256871,70
Growin' Up and Gettin' Old,Luke Combs,2023-03-24,233666,72
Photograph,Various Artists,2023-06-16,258986,9
Shivers,Various Artists,2023-06-16,207853,3
Photograph,Various Artists,2023-06-16,258986,6
Shivers,Various Artists,2023-06-16,207853,4
I Don’t Care - Acoustic,Various Artists,2023-06-23,238220,1
Celestial,Various Artists,2023-06-23,209026,0
Shape of You,Various Artists,2023-06-23,233712,0
Bad Habits,Various Artists,2023-06-23,230746,0
Perfect,Various Artists,2023-06-23,263400,0
Photograph,Various Artists,2023-06-26,258986,0
Bad Habits,Various Artists,2023-06-23,230746,0
Photograph,Various Artists,2023-06-23,258986,1
Shivers,Various Artists,2023-06-23,207853,0
Celestial,Various Artists,2023-06-16,209026,1
Bad Habits,Various Artists,2023-06-23,230746,0
Shivers,Various Artists,2023-06-23,207853,0
Shape of You,Various Artists,2023-06-23,233712,0
Perfect,Various Artists,2023-06-23,263400,0
Perfect,Various Artists,2023-06-16,263400,0
Perfect,Various Artists,2023-06-23,263400,0
Thinking Out Loud,Various Artists,2023-06-26,281560,0
Bad Habits,Various Artists,2023-06-23,230746,0
Perfect,Various Artists,2023-06-23,263400,0
Shivers,Various Artists,2023-06-23,207853,0
Castle on the Hill,Various Artists,2023-06-23,261153,1
Perfect,Various Artists,2023-06-23,263400,0
The Joker and the Queen,Various Artists,2023-06-16,185586,1
Overpass Graffiti,Various Artists,2023-06-23,236906,2
The Joker and the Queen,Various Artists,2023-06-23,185586,0
Perfect,Various Artists,2023-06-23,263400,0
Bad Habits,Various Artists,2023-06-23,230746,0
Fuck The Industry Pt. 2,YoungBoy Never Broke Again,2023-05-12,187345,70
I'm Not Here To Make Friends,Sam Smith,2023-01-27,229604,81
Você Não Tem Saudade,Taty Girl,2023-06-08,162474,75
DLC,Stray Kids,2023-06-02,186000,79
AIN'T GONNA ANSWER,NLE Choppa,2023-03-23,187453,70
Forget Me,Lewis Capaldi,2023-05-19,203666,82
Interlude : Dive,Jimin,2023-03-24,130996,77
4 Morant (Better Luck Next Time),Com Truise,2023-03-31,171000,75
Greatness,Quavo,2023-02-24,185000,73
Mother,Meghan Trainor,2023-03-10,147481,78
Kiss the Girl,Alan Menken,2023-05-19,196586,74
M.L.P,Grupo Clasificado,2023-03-10,211961,79
No Pole,Don Toliver,2023-02-28,187613,72
CCC,Michelle Maciel,2023-05-04,126081,82
Fact (feat. Lil Uzi Vert),Ghostluvme,2023-02-07,174373,71
A2Z,BabyTron,2023-02-24,160600,68
CRYSTALS (Slowed),PR1SVX,2023-03-18,75833,77
This Is Why,Paramore,2023-02-10,206700,74
How Could You,Jessie Murph,2023-02-10,187813,74
Por el Resto de Tu Vida,Christian Nodal,2023-01-27,197476,81
Meltdown,Niall Horan,2023-06-09,153037,77
VOID,Melanie Martinez,2023-03-29,247873,73
Rara Vez,Taiu,2023-02-08,128677,91
Texas,BigXthaPlug,2023-02-10,146133,68
"Everywhere, Everything",Noah Kahan,2023-06-09,257668,70
Church,Jelly Roll,2023-06-02,220013,69
World Class Sinner / I’m A Freak,The Weeknd,2023-06-09,199280,79
20191009 I Like Her,Mac DeMarco,2023-04-21,136888,73
Motion God,Moneybagg Yo,2023-06-02,142437,70
Orange Juice,Noah Kahan,2023-06-09,297103,70
Sossaup,KAYTRAMINÉ,2023-05-19,156000,73
Champagne Shit,Janelle Monáe,2023-06-09,143200,71
how u feel?,Destroy Lonely,2023-05-05,233794,72
Fly Girl (feat. Missy Elliott),FLO,2023-03-23,205384,76
PLUTO,Melanie Martinez,2023-04-05,181496,72
The Apparition,Sleep Token,2023-05-19,268159,72
I Wish you Roses,Kali Uchis,2023-01-19,225947,71
I'm Geekin - Slowed Down,DDG,2023-04-18,114690,72
Honey Bun,Quavo,2023-03-31,134666,71
Come Over,Noah Kahan,2023-06-09,197821,70
TUNNEL VISION,Melanie Martinez,2023-03-31,284770,73
BEACHY,Daddy Yankee,2023-06-01,168000,80
RATATA,Skrillex,2023-02-17,126774,75
MONTAGEM - PR FUNK,S3BZS,2023-05-01,61673,84
Took My Breath Away (feat. Skye Morales),Trippie Redd,2023-06-16,180133,70
VOID,Melanie Martinez,2023-03-31,247873,73
Eyes Wide Shut,ILLENIUM,2023-04-28,152331,74
"BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)","Tyler, The Creator",2023-03-31,204364,71
Por Clave Caiman,Tomas Ballardo,2023-02-17,158626,76
All I Need Is You,Chris Janson,2023-01-27,162344,69
SOLD OUT,HARDY,2023-01-20,202912,69
Where It Ends,Bailey Zimmerman,2023-05-12,179294,69
Bossier City Kidnap Victims,$uicideboy$,2023-05-26,163500,71
Bills,ENHYPEN,2023-05-22,175752,79
4EVA (feat. Pharrell Williams),Aminé,2023-04-07,190373,74
PANDEMONIUM,NF,2023-04-07,197006,72
Fighting Myself,Linkin Park,2023-04-07,201428,77
MOONLIGHT SUNRISE,TWICE,2023-01-20,180320,77
Pass The Nirvana,Pierce The Veil,2023-02-10,197373,70
Mrs. Hollywood,Go-Jo,2023-03-20,143840,76
This Is How It Feels (with Laufey),d4vd,2023-05-26,284305,73
FNF,Stray Kids,2023-06-02,171680,78
Running Out Of Time,Paramore,2023-02-10,192440,73
Yankee 150,Yandel,2023-06-16,242667,82
FreakyT (feat. Latto) - Remix,TiaCorine,2023-04-21,149384,69
VULGAR (with Madonna),Sam Smith,2023-06-09,155258,79
Collide (feat. Tyga),Justine Skye,2023-01-31,260169,78
(It Goes Like) Nanana - Edit,Peggy Gou,2023-06-15,231545,83
Growing Sideways,Noah Kahan,2023-06-09,255143,70
People (feat. Ayra Starr & Omah Lay),Libianca,2023-03-31,184633,80
Favorite Song (feat. Future) [Toxic Version],Toosii,2023-05-19,208621,71
Tú Y Tú,Los Ángeles Azules,2023-03-10,216666,67
Dancing In The Courthouse,Dominic Fike,2023-04-14,157563,72
22,JayO,2023-02-22,142120,78
STUNTMAN (feat. Vince Staples),"Tyler, The Creator",2023-03-31,199742,70
(What A) Wonderful World,Sam Cooke,2023-02-10,127186,68
5 'N the Mornin',$uicideboy$,2023-05-12,266078,70
Si La Calle Llama - Remix,Eladio Carrion,2023-03-17,240000,86
Blame Brett,The Beaches,2023-05-05,176005,72
JACK,HARDY,2023-01-20,168630,68
WATATI [From Barbie The Album],Various Artists,2023-06-26,166882,0
TQG,Various Artists,2023-06-23,198360,1
OJOS FERRARI,Various Artists,2023-06-23,180466,2
AMARGURA,Various Artists,2023-06-23,170906,6
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Various Artists,2023-06-21,264805,1
"Khairiyat (From ""Chhichhore"")",Various Artists,2023-06-21,280281,1
"Sun Bhi Le (From ""Ittu Si Baat"") - Jhankar Beats",Various Artists,2023-06-20,176673,1
Warzone,Bailey Zimmerman,2023-05-12,204179,68
Youtiful,Stray Kids,2023-06-02,209280,78
FANTASMA | AVC,Tainy,2023-06-01,285074,79
DEATH,Melanie Martinez,2023-03-30,306655,73
RICH SCHOLAR,Lil Mabu,2023-06-16,118923,72
No Time Wasted (feat. Future),Polo G,2023-02-17,179533,71
Wolves Cry,Bryan Martin,2023-03-31,163871,69
GATÚBELA,Various Artists,2023-06-15,208013,4
GATÚBELA,Various Artists,2023-06-26,208013,0
BICHOTA,Various Artists,2023-06-23,178946,0
TQG,Various Artists,2023-06-26,198360,0
PROVENZA,Various Artists,2023-06-26,207626,0
Mi Cama,Various Artists,2023-06-14,151400,3
Love With A Quality,Various Artists,2023-06-26,223760,0
Love With A Quality,Various Artists,2023-06-26,223760,0
TQG,Various Artists,2023-06-27,198360,0
SEJODIOTO,Various Artists,2023-06-26,181106,0
GATÚBELA,Various Artists,2023-06-26,208013,0
Rebuke,KAYTRAMINÉ,2023-05-19,118436,73
PUNTO G,Quevedo,2023-01-20,151324,86
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2023-03-24,285050,77
Cupido,TINI,2023-02-14,174369,86
Get to Gettin’ Gone,Bailey Zimmerman,2023-05-12,182465,69
KÁRMIKA,KAROL G,2023-02-24,236586,79
Aqua Regia,Sleep Token,2023-05-19,236020,71
Homesick,Noah Kahan,2023-06-09,194416,69
ICKY,KARD,2023-05-23,179240,76
CAROLINA,KAROL G,2023-02-24,162093,79
money & sex - bonus,Destroy Lonely,2023-05-05,272364,70
Try That In A Small Town,Jason Aldean,2023-05-19,180033,68
Thousand Miles (feat. Brandi Carlile),Miley Cyrus,2023-03-10,231000,74
NO BAD DAYS (feat. Collett),Macklemore,2023-03-03,173453,74
La Receta,Tego Calderón,2023-04-28,175733,78
Endlessly,Kali Uchis,2023-03-03,155406,72
POLARIS - Remix,Saiko,2023-06-08,288000,87
Pray,Jessie Murph,2023-02-10,146266,77
MONEY ON THE DASH,Elley Duhé,2023-01-20,145666,78
Giving Me,Jazzy,2023-03-10,169000,84
Corralling the Blues,Colter Wall,2023-06-01,147666,68
Sacrifice (Eat Me Up),ENHYPEN,2023-05-22,202488,79
RÁPIDO,Mora,2023-04-27,182857,82
Put It On Da Floor,Latto,2023-04-21,181437,69
West Coast Weekend,Tyga,2023-06-08,199626,71
For the First Time,Alan Menken,2023-05-19,248066,72
Rolls-Royce,Casper Magico,2023-06-08,205901,71
BABY HELLO,Rauw Alejandro,2023-06-23,222461,78
Mazel Tron,BLP KOSHER,2023-03-31,208000,69
Dance With You,Brett Young,2023-04-14,183542,69
Look At Us Now (Honeycomb),Daisy Jones & The Six,2023-03-02,332386,73
Zero,NewJeans,2023-04-03,154194,77
Tucson Too Late,Jordan Davis,2023-02-17,172853,68
if looks could kill,Destroy Lonely,2023-05-05,194213,71
Ghost,Various Artists,2023-06-23,153190,4
Friends,Various Artists,2023-06-23,189466,2
Honest,Various Artists,2023-06-23,193322,1
As Long As You Love Me,Various Artists,2023-06-23,229866,2
Company,Various Artists,2023-06-23,208413,12
Mistletoe,Various Artists,2023-06-19,183066,1
What Do You Mean?,Various Artists,2023-06-23,208542,2
Off My Face,Various Artists,2023-06-23,156467,3
Unstable,Various Artists,2023-06-23,158324,1
Mistletoe,Various Artists,2023-06-19,183066,0
Get Me,Various Artists,2023-06-23,185418,0
Confident - Single Version,Various Artists,2023-06-23,248760,1
Deserve You,Various Artists,2023-06-23,187238,0
Mistletoe,Various Artists,2023-06-19,183066,1
Boyfriend,Various Artists,2023-06-23,173360,0
Boyfriend,Various Artists,2023-06-23,173360,1
Never Say Never - Single Version,Various Artists,2023-06-23,227960,2
Sorry,Various Artists,2023-06-23,200786,1
One Time,Various Artists,2023-06-23,215586,1
Strawberry Wine,Noah Kahan,2023-06-09,285913,69
Call Me What You Like,Lovejoy,2023-02-10,226960,73
You and I,d4vd,2023-05-26,152551,72
I like u,Tove Lo,2023-05-31,190902,75
Charm,Rema,2023-04-27,204750,81
Yo Preferí Chambear,Chino Pacas,2023-06-09,155245,74
Promise,Laufey,2023-06-14,234266,73
Sorry,Various Artists,2023-06-22,200786,1
What Do You Mean?,Various Artists,2023-06-23,208542,1
Love Yourself,Various Artists,2023-06-23,232626,0
Ghost,Various Artists,2023-06-23,153190,0
Fa La La,Various Artists,2023-06-15,185560,2
Baby,Various Artists,2023-06-23,216613,2
Anyone,Various Artists,2023-06-23,190779,0
Nothing Like Us,Various Artists,2023-06-23,199800,1
Fa La La,Various Artists,2023-06-20,185560,1
Lonely,Various Artists,2023-06-23,149189,1
Boyfriend,Various Artists,2023-06-22,173360,1
Baby,Various Artists,2023-06-23,216613,0
Lonely,ヴァリアス・アーティスト,2023-06-26,149189,0
Love Yourself,ヴァリアス・アーティスト,2023-06-26,232626,0
Boyfriend,Various Artists,2023-06-23,173360,0
Off My Face,ヴァリアス・アーティスト,2023-06-26,156467,0
BABY SAID,Måneskin,2023-01-20,164682,82
My Stupid Heart,Walk off the Earth,2023-01-27,160866,79
Quien Es El?,Eslabon Armado,2023-04-28,230443,71
Worth the Wait (feat. Omar Apollo),Kali Uchis,2023-03-03,150699,71
SunKissing,Hailee Steinfeld,2023-03-24,177253,73
Hold On,Various Artists,2023-06-23,170813,4
Beautiful Love - Free Fire,Various Artists,2023-06-16,207837,4
Château Gris,$uicideboy$,2023-05-05,203162,69
Na Na Na,Lay Bankz,2023-04-26,100122,71
Wish I Could Forget (with blackbear & Bring Me The Horizon),SLANDER,2023-05-19,206000,73
She,Jelly Roll,2023-06-02,173933,68
I Cannot Be (A Sadder Song),Various Artists,2023-06-23,169824,1
Cooped Up,Various Artists,2023-06-23,185857,1
Juice II,Logic,2023-05-26,111345,70
Cooped Up,Various Artists,2023-06-25,185857,0
Thirsty,aespa,2023-05-08,193413,77
Let's Love,Various Artists,2023-06-26,200645,0
Crazy What Love Can Do,Various Artists,2023-06-26,169756,0
I’m Good (Blue),Various Artists,2023-06-26,175238,0
Let It Be Me,Various Artists,2023-06-26,172933,0
Baby Don't Hurt Me,Various Artists,2023-06-26,140017,0
I’m Good (Blue),Various Artists,2023-06-26,175238,0
I’m Good (Blue),Various Artists,2023-06-26,175238,0
Chromosomes,Key Glock,2023-02-24,151080,68
Summer Too Hot,Chris Brown,2023-06-23,188504,68
King Snipe,Gucci Mane,2023-01-13,214593,69
SMOKE IT OFF!,Lumi Athena,2023-04-30,117528,75
Double Fantasy (with Future) - Radio Edit,The Weeknd,2023-04-21,235966,73
Aruarian Dance,H1gh,2023-04-14,274572,76
"Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,2023-03-22,223019,83
The Star Room (OG Version) - Bonus Track,Mac Miller,2023-06-23,264217,63
F My BM,Moneybagg Yo,2023-06-02,182857,68
I’m Good (Blue),Various Artists,2023-06-23,175238,2
I’m Good (Blue),Various Artists,2023-06-16,175238,3
Crazy What Love Can Do,Various Artists,2023-06-16,169756,7
I’m Good (Blue),Various Artists,2023-06-15,175238,3
I’m Good (Blue),Various Artists,2023-06-16,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Crazy What Love Can Do,Various Artists,2023-06-16,169756,1
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-16,175238,0
Sexy Bitch,Various Artists,2023-06-23,195853,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Crazy What Love Can Do,Various Artists,2023-06-16,169756,0
Where Them Girls At,Various Artists,2023-06-23,194840,0
Let's Love,Various Artists,2023-06-23,200645,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Crazy What Love Can Do,Various Artists,2023-06-16,169756,2
I’m Good (Blue),Various Artists,2023-06-16,175238,2
I Wanna Go Crazy,Various Artists,2023-06-23,204506,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
I’m Good (Blue),Various Artists,2023-06-16,175238,1
I’m Good (Blue),Various Artists,2023-06-16,175238,0
Titanium,Various Artists,2023-06-23,245040,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Say My Name,Various Artists,2023-06-23,198946,0
Crazy What Love Can Do,Various Artists,2023-06-16,169756,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Blast Off,Various Artists,2023-06-23,188840,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
If You Really Love Me (How Will I Know),Various Artists,2023-06-23,184390,0
Titanium,Various Artists,2023-06-23,245040,0
I’m Good (Blue),Various Artists,2023-06-16,175238,1
Sexy Bitch,Various Artists,2023-06-23,195853,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Memories,Various Artists,2023-06-23,210093,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Memories - 2021 Remix,Various Artists,2023-06-23,162992,1
I’m That Bitch,Various Artists,2023-06-23,194626,0
